event,method,outer_step,optimizer_update,wall_seconds,completion_tokens,peak_memory_mib,loss,grad_norm,approx_kl,sampled_logratio_to_ref,entropy,clip_fraction,reward,group_reward_std,degenerate_group_rate,all_zero_group_rate,all_one_group_rate,pass_at_group,mean_completion_length,rollout_seconds
train,cispo,140,280,24.41665898496285,48237,3311.76025390625,-0.04955625161528587,4.85701847076416,0.11255088448524475,0.26129987835884094,0.767758309841156,0.0,0.421875,0.18025782704353333,0.5,0.5,0.0,0.5,5.5,0.06797771202400327
train,cispo,150,300,26.114452779002022,51791,3311.76025390625,0.0009006327018141747,3.115414619445801,0.13246148824691772,0.3294565975666046,0.535523533821106,0.0,0.5625,0.10825317353010178,0.75,0.25,0.5,0.75,4.796875,0.0595918670296669
train,cispo,160,320,27.76632986200275,54988,3311.76025390625,0.010889342986047268,2.768650531768799,0.1788450926542282,0.4072628915309906,0.45532503724098206,0.0,0.34375,0.12103073298931122,0.75,0.5,0.25,0.5,4.75,0.05238835496129468
train,cispo,170,340,29.44674382498488,58141,3311.76025390625,0.03607308864593506,1.8348097801208496,0.08412576466798782,0.29727932810783386,0.5329417586326599,0.0,0.28125,0.15809345245361328,0.5,0.5,0.0,0.5,4.671875,0.06811782799195498
train,cispo,180,360,31.087767641001847,61466,3311.76025390625,0.029455143958330154,4.834146976470947,0.24849684536457062,0.5046160817146301,0.45209258794784546,0.0,0.296875,0.09757809340953827,0.75,0.5,0.25,0.5,4.5,0.052030424994882196
train,cispo,190,380,32.75160101999063,64715,3311.76025390625,0.008359885774552822,0.027067378163337708,0.425483763217926,0.7390364408493042,0.1470666527748108,0.0,0.25,0.0,1.0,0.75,0.25,0.25,4.5,0.05434984201565385
train,cispo,200,400,34.425321836955845,68099,3311.76025390625,0.007549936883151531,0.029834827408194542,0.3621225655078888,0.6927719116210938,0.22416965663433075,0.0,0.5,0.0,1.0,0.5,0.5,0.5,5.3125,0.06711140397237614
train,cispo,210,420,36.05548767396249,71396,3311.76025390625,0.007174729369580746,0.032032862305641174,0.3451632559299469,0.6574424505233765,0.33620157837867737,0.0,0.25,0.0,1.0,0.75,0.25,0.25,4.75,0.05870860000140965
train,cispo,220,440,37.78048320498783,75084,3311.76025390625,0.005362712778151035,0.027745284140110016,0.24672837555408478,0.45435023307800293,0.41775116324424744,0.0,0.5,0.0,1.0,0.5,0.5,0.5,6.0,0.0676012440235354
train,cispo,230,460,39.44245645101182,78355,3311.76025390625,0.008542429655790329,0.056726615875959396,0.40785694122314453,0.6744779944419861,0.4504043757915497,0.0,0.25,0.0,1.0,0.75,0.25,0.25,4.453125,0.053401081007905304
train,cispo,240,480,41.19085846398957,81932,3311.76025390625,0.0039736926555633545,0.053237929940223694,0.1900755912065506,0.3468145430088043,0.44535356760025024,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.609375,0.06840624799951911
train,cispo,250,500,42.86928762297612,85267,3325.80029296875,0.0069319577887654305,0.08304999768733978,0.3310728371143341,0.5391461849212646,0.6854403614997864,0.0,0.25,0.0,1.0,0.75,0.25,0.25,4.5,0.05263165198266506
completed,cispo,,,43.63908113096841,85267,3325.80029296875,,,,,,,,,,,,,,
